year,fac_no,name,beg_date,end_date,county_name,type_centrl,patient_days,tot_hc_rev,tot_hc_exp,nonhc_net,inc_tax,ext_item,net_income
2014,206010760,BETHESDA HOME,6/1/2013 0:00,5/31/2014 0:00,Alameda,Not-for-Profit,14484,3144967,3392585,238126,0,0,-9492
2013,206010760,BETHESDA HOME,6/1/2012 0:00,5/31/2013 0:00,Alameda,Not-for-Profit,14491,3027878,3230692,123621,0,0,-79193
2012,206010760,BETHESDA HOME,6/1/2011 0:00,5/31/2012 0:00,Alameda,Not-for-Profit,14444,3010249,3117377,85040,0,0,-22088
2011,206010760,BETHESDA HOME,6/1/2010 0:00,5/31/2011 0:00,Alameda,Not-for-Profit,14446,2877777,3006160,146026,0,0,17643
2015,206010770,PROVIDENCE VALLEY POINTE,3/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12962,5216653,4868897,0,12590,0,335166
2014,206010770,PROVIDENCE VALLEY POINTE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,15948,5379146,5565362,12226,800,0,-174790
2013,206010770,PROVIDENCE VALLEY POINTE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,15480,5550413,5372937,555,800,0,177231
2012,206010770,PROVIDENCE VALLEY POINTE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,15639,5197888,4991643,3312,800,0,208757
2011,206010770,PROVIDENCE VALLEY POINTE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,16748,4964457,4891045,1870,800,0,74482
2015,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2015 0:00,11/2/2015 0:00,Alameda,Investor Owned,22293,5331774,6176735,1817358,10625,0,961772
2014,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,26426,6239538,6768396,-160,12590,0,-541608
2013,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,26733,6998923,6908097,0,14540,0,76286
2012,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25172,6496848,6566289,31,12590,0,-82000
2011,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,26703,6936523,6422595,186,13390,0,500724
2015,206010797,FREMONT HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,39163,13913534,12592131,2371,0,0,1323774
2014,206010797,FREMONT HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,39446,13483571,12400418,0,0,0,1083153
2013,206010797,FREMONT HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,37915,13064518,11719633,0,0,0,1344885
2012,206010797,FREMONT HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,38212,13193252,11452344,0,0,0,1740908
2011,206010797,FREMONT HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,38802,13280549,11488216,734,0,0,1793067
2015,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,29813,9793809,9295189,0,0,0,498620
2014,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,29633,9146660,9174327,0,0,0,-27667
2013,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,30008,9515880,9265874,0,0,0,250006
2012,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,29387,8690583,8794212,0,0,0,-103629
2011,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,29316,8728103,8523877,302,0,0,204528
2015,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2014 0:00,8/31/2015 0:00,Alameda,Investor Owned,34494,11235896,9942383,15678,12590,0,1296601
2014,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2013 0:00,8/31/2014 0:00,Alameda,Investor Owned,34221,10189333,9486786,-29665,12590,0,660292
2013,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2012 0:00,8/31/2013 0:00,Alameda,Investor Owned,33774,10625106,9369041,39094,13112,0,1282047
2012,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2011 0:00,8/31/2012 0:00,Alameda,Investor Owned,34274,10582170,8867292,17,15040,0,1699855
2011,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2010 0:00,8/31/2011 0:00,Alameda,Investor Owned,34537,9582980,8307088,176,13134,0,1262934
2015,206010807,ELMWOOD CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,25385,9016976,8167647,5630,13390,0,841569
2014,206010807,ELMWOOD CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,26133,9600785,8310687,5107,19428,0,1275777
2013,206010807,ELMWOOD CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,26028,8513648,7808938,5017,10320,0,699407
2012,206010807,ELMWOOD CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25312,7980074,7230596,7430,11354,0,745554
2011,206010807,ELMWOOD CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,25630,8677257,7441031,0,18445,0,1217781
2015,206010808,BAY AREA HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,28306,13285406,12752712,0,0,0,532694
2014,206010808,BAY AREA HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,27096,11992653,11758101,-28269,0,0,206283
2013,206010808,BAY AREA HEALTHCARE CENTER,11/1/2012 0:00,12/31/2013 0:00,Alameda,Investor Owned,30923,9924546,9707697,0,0,0,216849
2012,206010808,BAY AREA HEALTHCARE CENTER,11/1/2011 0:00,10/31/2012 0:00,Alameda,Investor Owned,23432,4615016,5837076,0,0,0,-1222060
2015,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,23149,9191368,8334517,6082,0,0,862933
2014,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,22695,8935631,8053835,4202,0,0,885998
2013,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,22683,8517495,7759838,94,0,0,757751
2012,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,22761,8347057,7299024,7,0,0,1048040
2011,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,22402,8159779,6928710,0,0,0,1231069
2015,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,32496,10735794,10354975,-5500,12590,0,362729
2014,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,32729,10523730,10400983,1697,12590,0,111854
2013,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,32770,10995348,10403095,0,0,0,592253
2012,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,32675,8864915,9025291,0,0,0,-160376
2011,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,32876,8140873,8583952,0,0,0,-443079
2015,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2014 0:00,6/30/2015 0:00,Alameda,Investor Owned,26926,10489360,9714918,0,0,0,774442
2014,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2013 0:00,6/30/2014 0:00,Alameda,Investor Owned,26932,9482275,8815639,0,0,0,666636
2013,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2012 0:00,6/30/2013 0:00,Alameda,Investor Owned,27382,9366696,8787495,0,0,0,579201
2012,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2011 0:00,6/30/2012 0:00,Alameda,Investor Owned,27201,8939745,8201702,0,0,-24288,762331
2011,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2010 0:00,6/30/2011 0:00,Alameda,Investor Owned,27483,8906210,7914590,0,0,-4481,996101
2015,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,31376,7311086,7884508,341,800,0,-573881
2014,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,32689,7647197,8525669,226,800,-331845,-547201
2013,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,31915,7302452,8248084,521076,800,0,-425356
2012,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,34056,7826570,7899232,4,1050,0,-73708
2011,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,32161,7861355,8094446,0,800,0,-233891
2015,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,25751,10146601,8705687,458,0,0,1441372
2014,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,25913,9061700,8075525,0,0,0,986175
2013,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,25562,8608728,7581541,0,0,0,1027187
2012,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25071,8062807,7382059,0,0,0,680748
2011,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,24418,9151256,7705839,242,0,0,1445659
2014,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,15380,3177948,3452133,-14457,208,0,-288850
2013,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,14668,3178972,3409768,14703,13383,0,-229476
2012,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,14622,3464004,3321594,1782,50800,0,93392
2011,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,14982,3149714,3100004,29811,6800,0,72721
2015,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2014 0:00,8/31/2015 0:00,Alameda,Investor Owned,33516,12214098,10779972,24808,12590,0,1446344
2014,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2013 0:00,8/31/2014 0:00,Alameda,Investor Owned,33293,12405329,10943363,-15222,12590,0,1434154
2013,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2012 0:00,8/31/2013 0:00,Alameda,Investor Owned,32069,11808395,10285686,39637,13112,0,1549234
2012,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2011 0:00,8/31/2012 0:00,Alameda,Investor Owned,33351,12567730,10088986,840,14432,0,2465152
2011,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2010 0:00,8/31/2011 0:00,Alameda,Investor Owned,31461,11128377,8689925,134,13125,0,2425461
2015,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,21921,7452310,6672390,124400,800,0,903520
2014,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,21844,7303376,7072728,81973,800,0,311821
2013,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,21950,7307397,6697573,309045,800,0,918069
2012,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,21992,6488355,6408153,41546,2077,0,119671
2011,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,21963,6653557,6238518,165555,8625,0,571969
2015,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,3/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,20039,9153235,9361155,0,12590,0,-220510
2014,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,24337,10793300,11545514,19691,800,0,-733323
2013,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,27370,13705534,13643758,429,800,0,61405
2012,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,27747,14013273,13597959,1895,800,0,416409
2011,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,28258,13591977,13281104,83,800,0,310156
2015,206010855,JONES CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,8068,2484474,2611201,237279,0,0,110552
2014,206010855,JONES CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,8366,2296622,2397231,242060,0,0,141451
2013,206010855,JONES CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,8602,2078539,2444549,259677,0,0,-106333
2012,206010855,JONES CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,8575,2169394,2433428,265907,0,0,1873
2011,206010855,JONES CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,8512,2272202,2598019,357018,0,0,31201
2015,206010862,WISTERIA CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,7685,1640161,1709287,-1553,0,0,-70679
2014,206010862,WISTERIA CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,7887,1441687,1636001,0,0,0,-194314
2013,206010862,WISTERIA CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,8292,1586783,1651775,600,800,0,-65192
2012,206010862,WISTERIA CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,8005,1565495,1699664,0,0,0,-134169
2015,206010863,KYAKAMEENA CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,19926,5129930,5078436,29,936,0,50587
2014,206010863,KYAKAMEENA CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,20756,5102775,5036692,13121,3088,0,76116
2013,206010863,KYAKAMEENA CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,20602,5033073,5074549,247,-10,0,-41219
2012,206010863,KYAKAMEENA CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,20631,4849206,4781014,427,1867,0,66752
2011,206010863,KYAKAMEENA CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,20852,4902766,4802253,0,2091,0,98422
2015,206010866,LAKE PARK RETIREMENT RESIDENCE,7/1/2014 0:00,6/30/2015 0:00,Alameda,Not-for-Profit,8310,1543135,3438175,2220584,0,0,325544
2014,206010866,LAKE PARK RETIREMENT RESIDENCE,7/1/2013 0:00,6/30/2014 0:00,Alameda,Not-for-Profit,9171,1790419,4076477,2651732,0,0,365674
2013,206010866,LAKE PARK RETIREMENT RESIDENCE,7/1/2012 0:00,6/30/2013 0:00,Alameda,Not-for-Profit,8597,1080455,3569727,2406594,0,0,-82678
2012,206010866,LAKE PARK RETIREMENT RESIDENCE,7/1/2011 0:00,6/30/2012 0:00,Alameda,Not-for-Profit,10048,1488539,3540500,2242494,0,0,190533
2011,206010866,LAKE PARK RETIREMENT RESIDENCE,7/1/2010 0:00,6/30/2011 0:00,Alameda,Not-for-Profit,9891,1374086,3555971,2353784,0,0,171899
2015,206010874,SILVER OAK MANOR,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12973,3224571,2621745,0,8515,0,594311
2014,206010874,SILVER OAK MANOR,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,12986,2750022,2683808,272,1681,0,64805
2013,206010874,SILVER OAK MANOR,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,12965,2658017,2648603,468,4620,0,5262
2012,206010874,SILVER OAK MANOR,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,13017,2673193,2557720,1008,4040,0,112441
2011,206010874,SILVER OAK MANOR,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,12928,3019023,2534438,5583,4605,0,485563
2014,206010875,OAKGROVE SPRINGS CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,17528,3395381,3952627,13002,2069,0,-546313
2013,206010875,OAKGROVE SPRINGS CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,18000,3497174,3876762,-132,68575,0,-448295
2012,206010875,OAKGROVE SPRINGS CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,18276,3696975,3826892,9009,800,0,-121708
2011,206010875,OAKGROVE SPRINGS CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,17892,3574856,3617775,27613,6800,0,-22106
2015,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,25346,9922672,9395374,3301,12590,0,518009
2014,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,24978,8987041,9249369,722,12590,0,-274196
2013,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,24296,8550566,9170515,0,0,0,-619949
2012,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,24429,8631315,8620659,0,0,0,10656
2011,206010876,WINDSOR GARDENS CARE CTR OF HAYWARD,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,25037,8913163,8265177,0,0,1,647985
2015,206010879,MASONIC HOME,11/1/2014 0:00,10/31/2015 0:00,Alameda,Not-for-Profit,19659,6399458,9959861,3560403,0,0,0
2014,206010879,MASONIC HOME,11/1/2013 0:00,10/31/2014 0:00,Alameda,Not-for-Profit,19353,5764425,8985593,3221168,0,0,0
2013,206010879,MASONIC HOME,11/1/2012 0:00,10/31/2013 0:00,Alameda,Not-for-Profit,23188,5958064,8682669,2724605,0,0,0
2015,206010881,PROVIDENCE MCCLURE,3/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,16437,5717672,5198416,0,12590,0,506666
2014,206010881,PROVIDENCE MCCLURE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,20062,5402411,5680510,11121,800,0,-267778
2013,206010881,PROVIDENCE MCCLURE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,19139,5412754,5493184,200,800,0,-81030
2012,206010881,PROVIDENCE MCCLURE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,19000,5289311,5272052,176,800,0,16635
2011,206010881,PROVIDENCE MCCLURE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,18543,5805460,5912631,155,800,0,-107816
2015,206010889,FRUITVALE HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,48716,16340345,13897839,5644,0,0,2448150
2014,206010889,FRUITVALE HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,48564,15024010,12698889,0,0,0,2325121
2013,206010889,FRUITVALE HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,48645,15068541,13519397,-5995698,0,0,-4446554
2012,206010889,FRUITVALE HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,49547,14060511,12244156,47443,0,0,1863798
2011,206010889,FRUITVALE HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,49376,14382661,12835292,39083,0,0,1586452
2015,206010900,GARFIELD NEUROBEHAVIORAL CENTER,7/1/2014 0:00,6/30/2015 0:00,Alameda,Investor Owned,20471,5444635,6772115,2700463,0,0,1372983
2014,206010900,GARFIELD NEUROBEHAVIORAL CENTER,7/1/2013 0:00,6/30/2014 0:00,Alameda,Investor Owned,20401,4975968,6335096,2569133,0,0,1210005
2013,206010900,GARFIELD NEUROBEHAVIORAL CENTER,7/1/2012 0:00,6/30/2013 0:00,Alameda,Investor Owned,20113,4672640,6200048,2783614,0,0,1256206
2012,206010900,GARFIELD NEUROBEHAVIORAL CENTER,7/1/2011 0:00,6/30/2012 0:00,Alameda,Investor Owned,20442,4736529,6145673,2636544,0,0,1227400
2011,206010900,GARFIELD NEUROBEHAVIORAL CENTER,7/1/2010 0:00,6/30/2011 0:00,Alameda,Investor Owned,20039,4560492,5704212,2227646,0,0,1083926
2015,206010904,BROOKDALE HEALTHCARE & WELLNESS CENTRE,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,29323,10365042,10310465,334,800,0,54111
